,Descriptive_ID,Pfam_ID,CL,Description,Gathering_threshold,Symbol,ML,Overlapping_family,Type
7600,DUF6498,PF20108.2,,Family of unknown function (DUF6498),23.7; 23.7;,DUF6498,210,,Family
7601,DUF6499,PF20109.2,,Family of unknown function (DUF6499),23.8; 23.8;,DUF6499,68,,Family
7602,DUF6500,PF20110.2,,Family of unknown function (DUF6500),23.7; 23.7;,DUF6500,53,,Family
7603,DUF6501,PF20111.2,,Family of unknown function (DUF6501),23.8; 23.8;,DUF6501,67,,Family
7604,DUF6502,PF20112.2,,Family of unknown function (DUF6502),27; 27;,DUF6502,268,,Family
7605,DUF6503,PF20113.2,,Family of unknown function (DUF6503),22.9; 22.9;,DUF6503,235,,Family
7606,DUF6504,PF20114.2,,Family of unknown function (DUF6504),24.2; 24.2;,DUF6504,117,,Family
7607,DUF6505,PF20115.2,,Family of unknown function (DUF6505),23.9; 23.9;,DUF6505,159,,Family
7608,DUF6506,PF20116.2,,Family of unknown function (DUF6506),27; 27;,DUF6506,96,,Family
7609,DUF6507,PF20117.2,,Family of unknown function (DUF6507),25; 25;,DUF6507,124,,Family
7610,DUF6508,PF20118.2,,Family of unknown function (DUF6508),23.6; 23.6;,DUF6508,130,,Family
7611,DUF6509,PF20119.2,,Family of unknown function (DUF6509),23.9; 23.9;,DUF6509,95,,Family
7612,DUF6510,PF20120.2,,Family of unknown function (DUF6510),26.4; 26.4;,DUF6510,86,,Family
7613,DUF6511,PF20121.2,,Family of unknown function (DUF6511),26; 26;,DUF6511,69,,Family
7614,DUF6512,PF20122.2,,Family of unknown function (DUF6512),26; 26;,DUF6512,181,,Family
7615,DUF6513,PF20123.2,,Family of unknown function (DUF6513),23.9; 23.9;,DUF6513,86,,Family
7616,DUF6514,PF20124.2,,Family of unknown function (DUF6514),23.9; 23.9;,DUF6514,94,,Family
7617,DUF6515,PF20125.2,,Family of unknown function (DUF6515),24.9; 24.9;,DUF6515,179,,Family
7618,DUF6516,PF20126.2,,Family of unknown function (DUF6516),23.4; 23.4;,DUF6516,85,,Family
7619,DUF6517,PF20127.2,,Family of unknown function (DUF6517),23.9; 23.9;,DUF6517,186,,Family
7620,DUF6518,PF20128.2,,Family of unknown function (DUF6518),25; 25;,DUF6518,204,,Family
7621,DUF6519,PF20129.2,,Family of unknown function (DUF6519),22.4; 22.4;,DUF6519,578,,Family
7622,DUF6520,PF20130.2,,Family of unknown function (DUF6520),25.4; 25.4;,DUF6520,83,,Family
7623,DUF6522,PF20132.2,,Family of unknown function (DUF6522),25; 25;,DUF6522,88,,Family
7624,DUF6524,PF20134.2,,Family of unknown function (DUF6524),27; 27;,DUF6524,131,,Family
7625,DUF6525,PF20135.2,,Family of unknown function (DUF6525),23.5; 23.5;,DUF6525,79,,Family
7626,DUF6526,PF20136.2,,Family of unknown function (DUF6526),23.7; 23.7;,DUF6526,144,,Family
7627,DUF6527,PF20137.2,,Family of unknown function (DUF6527),23.6; 23.6;,DUF6527,63,,Family
7628,DUF6528,PF20138.2,,Family of unknown function (DUF6528),23.5; 23.5;,DUF6528,327,,Family
7629,DUF6529,PF20139.2,CL0328,Family of unknown function (DUF6529),23.3; 23.3;,DUF6529,171,,Family
7630,DUF6530,PF20140.2,,Family of unknown function (DUF6530),23.7; 23.7;,DUF6530,159,,Family
7631,DUF6531,PF20148.2,,Domain of unknown function (DUF6531),24.1; 24.1;,DUF6531,74,,Domain
7632,DUF6532,PF20149.2,,Domain of unknown function (DUF6532),24; 24;,DUF6532,195,,Domain
7633,DUF6533,PF20151.2,,Family of unknown function (DUF6533),24.1; 24.1;,DUF6533,47,,Family
7634,DUF6534,PF20152.2,,Family of unknown function (DUF6534),28.2; 28.2;,DUF6534,78,,Family
7635,DUF6535,PF20153.2,,Family of unknown function (DUF6535),23.9; 23.9;,DUF6535,176,,Family
7636,DUF6536,PF20163.1,,Family of unknown function (DUF6536),23.7; 23.7;,DUF6536,153,,Family
7637,DUF6537,PF20169.1,,Family of unknown function (DUF6537),27; 27;,DUF6537,203,,Domain
7638,DUF6538,PF20172.1,,Domain of unknown function (DUF6538),27; 27;,DUF6538,60,,Domain
7639,DUF6539,PF20173.1,,Family of unknown function (DUF6539),27; 27;,DUF6539,54,,Domain
7640,DUF6540,PF20174.1,,Family of unknown function (DUF6540),27; 27;,DUF6540,123,,Family
7641,DUF6541,PF20176.1,,Family of unknown function (DUF6541),29; 29;,DUF6541,648,,Family
7642,DUF6542,PF20177.1,,Domain of unknown function (DUF6542),27; 27;,DUF6542,123,,Domain
7643,DUF6543,PF20178.1,,Family of unknown function (DUF6543),27; 27;,DUF6543,585,,Family
7644,DUF6544,PF20181.1,,Family of unknown function (DUF6544),25; 25;,DUF6544,222,,Family
7645,DUF6545,PF20182.1,,Family of unknown function (DUF6545),24.4; 24.4;,DUF6545,137,,Family
7646,DUF6546,PF20183.1,,Family of unknown function (DUF6546),23.5; 23.5;,DUF6546,202,,Family
7647,DUF6547,PF20184.1,,Family of unknown function (DUF6547),27; 27;,DUF6547,117,,Family
7648,DUF6548,PF20185.1,,Family of unknown function (DUF6548),27.3; 27.3;,DUF6548,166,,Family
7649,DUF6549,PF20186.1,,Family of unknown function (DUF6549),27.4; 27.4;,DUF6549,167,,Family
7650,DUF655,PF04919.15,CL0198,Protein of unknown function (DUF655),22.2; 22.2;,DUF655,181,,Family
7651,DUF6550,PF20187.1,,Family of unknown function (DUF6550),27; 27;,DUF6550,190,,Family
7652,DUF6551,PF20188.1,CL0248,Family of unknown function (DUF6551),26.8; 26.8;,DUF6551,241,,Family
7653,DUF6552,PF20189.1,,Family of unknown function (DUF6552),27; 27;,DUF6552,78,,Family
7654,DUF6553,PF20190.1,,Family of unknown function (DUF6553),25; 25;,DUF6553,188,,Family
7655,DUF6554,PF20191.1,,Family of unknown function (DUF6554),27.5; 27.5;,DUF6554,106,,Family
7656,DUF6555,PF20192.1,,Family of unknown function (DUF6555),30.5; 30.5;,DUF6555,74,,Family
7657,DUF6556,PF20193.1,,Family of unknown function (DUF6556),28.1; 28.1;,DUF6556,113,,Family
7658,DUF6557,PF20194.1,,Family of unknown function (DUF6557),27.8; 27.8;,DUF6557,144,,Family
7659,DUF6558,PF20195.1,CL0504,Family of unknown function (DUF6558),26.9; 26.9;,DUF6558,260,,Family
7660,DUF6559,PF20196.1,,Family of unknown function (DUF6559),27; 27;,DUF6559,125,,Family
7661,DUF6560,PF20197.1,,Family of unknown function (DUF6560),27.8; 27.8;,DUF6560,174,,Family
7662,DUF6561,PF20198.1,,Family of unknown function (DUF6561),27; 27;,DUF6561,83,,Family
7663,DUF6562,PF20200.1,CL0450,Family of unknown function (DUF6562),25; 25;,DUF6562,302,,Family
7664,DUF6563,PF20201.1,,Family of unknown function (DUF6563),27.1; 27.1;,DUF6563,191,,Family
7665,DUF6564,PF20202.1,CL0110,Domain of unknown function (DUF6564),25; 25;,DUF6564,230,,Domain
7666,DUF6565,PF20203.1,,Domain of unknown function (DUF6565),24.5; 24.5;,DUF6565,106,,Domain
7667,DUF6566,PF20204.1,,Domain of unknown function (DUF6566),26.7; 26.7;,DUF6566,78,,Domain
7668,DUF6567,PF20205.1,,Family of unknown function (DUF6567),27; 27;,DUF6567,123,,Family
7669,DUF6568,PF20207.1,CL0172,Family of unknown function (DUF6568),27.1; 27.1;,DUF6568,161,,Family
7670,DUF6569,PF20208.1,,Family of unknown function (DUF6569),27; 27;,DUF6569,300,,Family
7671,DUF6570,PF20209.1,,Domain of unknown function (DUF6570),24.3; 24.3;,DUF6570,134,,Domain
7672,DUF6571,PF20211.1,,Family of unknown function (DUF6571),27; 27;,DUF6571,705,,Family
7673,DUF6572,PF20212.1,,Family of unknown function (DUF6572),27; 27;,DUF6572,107,,Family
7674,DUF6573,PF20213.1,,Family of unknown function (DUF6573),27; 27;,DUF6573,138,,Family
7675,DUF6574,PF20214.1,CL0167,Family of unknown function (DUF6574),27.1; 27.1;,DUF6574,258,,Family
7676,DUF6575,PF20215.1,,Family of unknown function (DUF6575),26.6; 26.6;,DUF6575,217,,Family
7677,DUF6576,PF20216.1,,Family of unknown function (DUF6576),27.3; 27.3;,DUF6576,47,,Family
7678,DUF6577,PF20217.1,,Family of unknown function (DUF6577),27.8; 27.8;,DUF6577,204,,Family
7679,DUF6578,PF20218.1,,Family of unknown function (DUF6578),27.8; 27.8;,DUF6578,121,,Family
7680,DUF6579,PF20219.1,,Family of unknown function (DUF6579),27.2; 27.2;,DUF6579,210,,Family
7681,DUF658,PF04936.15,,Protein of unknown function (DUF658),24.4; 24.4;,DUF658,186,,Family
7682,DUF6580,PF20221.1,CL0315,Family of unknown function (DUF6580),27; 27;,DUF6580,163,,Family
7683,DUF6581,PF20222.1,,Family of unknown function (DUF6581),27; 27;,DUF6581,411,,Family
7684,DUF6582,PF20223.1,,Family of unknown function (DUF6582),27.3; 27.3;,DUF6582,83,,Family
7685,DUF6583,PF20224.1,,Family of unknown function (DUF6583),27; 27;,DUF6583,447,,Family
7686,DUF6584,PF20225.1,CL0020,Family of unknown function (DUF6584),27; 27;,DUF6584,167,,Repeat
7687,DUF6585,PF20226.1,,Family of unknown function (DUF6585),27.7; 27.7;,DUF6585,249,,Family
7688,DUF6586,PF20227.1,,Family of unknown function (DUF6586),27; 27;,DUF6586,153,,Family
7689,DUF6587,PF20228.1,,Family of unknown function (DUF6587),27; 27;,DUF6587,82,,Family
7690,DUF6588,PF20230.1,,Family of unknown function (DUF6588),27; 27;,DUF6588,321,,Family
7691,DUF6589,PF20231.1,,Family of unknown function (DUF6589),27; 27;,DUF6589,416,,Family
7692,DUF659,PF04937.18,,Protein of unknown function (DUF 659),34.7; 34.7;,DUF659,152,,Family
7693,DUF6590,PF20233.1,,Family of unknown function (DUF6590),27; 27;,DUF6590,152,,Family
7694,DUF6591,PF20234.1,,Family of unknown function (DUF6591),27.1; 27.1;,DUF6591,227,,Family
7695,DUF6592,PF20235.1,,Family of unknown function (DUF6592),27; 27;,DUF6592,123,,Domain
7696,DUF6593,PF20236.1,,Family of unknown function (DUF6593),27; 27;,DUF6593,152,,Domain
7697,DUF6594,PF20237.1,,Family of unknown function (DUF6594),30; 30;,DUF6594,236,,Family
7698,DUF6595,PF20238.1,CL0159,Family of unknown function (DUF6595),27; 27;,DUF6595,144,,Domain
7699,DUF6596,PF20239.1,,Family of unknown function (DUF6596),27; 27;,DUF6596,102,,Family
7700,DUF6597,PF20240.1,,Domain of unknown function (DUF6597),27; 27;,DUF6597,105,,Domain
7701,DUF6598,PF20241.1,,Domain of unknown function (DUF6598),27; 27;,DUF6598,241,,Domain
7702,DUF6599,PF20244.1,,Family of unknown function (DUF6599),27; 27;,DUF6599,185,,Family
7703,DUF6600,PF20245.1,,Family of unknown function (DUF6600),27; 27;,DUF6600,102,,Family
7704,DUF6601,PF20246.1,,Family of unknown function (DUF6601),27; 27;,DUF6601,241,,Family
7705,DUF6602,PF20247.1,,Domain of unknown function (DUF6602),27; 27;,DUF6602,106,,Domain
7706,DUF6603,PF20248.1,,Family of unknown function (DUF6603),27; 27;,DUF6603,498,,Family
7707,DUF6604,PF20253.1,,Family of unknown function (DUF6604),27; 27;,DUF6604,250,,Family
7708,DUF6605,PF20254.1,,Domain of unknown function (DUF6605),27; 27;,DUF6605,380,,Domain
7709,DUF6606,PF20255.1,,Family of unknown function (DUF6606),27; 27;,DUF6606,267,,Family
7710,DUF6607,PF20311.1,,Family of unknown function (DUF6607),27; 27;,DUF6607,296,,Family
7711,DUF6608,PF20312.1,,Family of unknown function (DUF6608),24; 24;,DUF6608,131,,Family
7712,DUF6609,PF20313.1,,Family of unknown function (DUF6609),24; 24;,DUF6609,176,,Family
7713,DUF6610,PF20314.1,,Family of unknown function (DUF6610),27; 27;,DUF6610,198,,Family
7714,DUF6611,PF20315.1,,Family of unknown function (DUF6611),27; 27;,DUF6611,168,,Family
7715,DUF6612,PF20316.1,CL0048,Family of unknown function (DUF6612),23.7; 23.7;,DUF6612,237,,Family
7716,DUF6613,PF20318.1,,Family of unknown function (DUF6613),24.3; 24.3;,DUF6613,194,,Family
7717,DUF6614,PF20319.1,,Family of unknown function (DUF6614),25; 25;,DUF6614,116,,Family
7718,DUF6615,PF20320.1,,Family of unknown function (DUF6615),23.8; 23.8;,DUF6615,290,,Family
7719,DUF6616,PF20321.1,,Family of unknown function (DUF6616),27; 27;,DUF6616,111,,Family
7720,DUF6617,PF20322.1,,Family of unknown function (DUF6617),27; 27;,DUF6617,316,,Family
7721,DUF6618,PF20323.1,,Family of unknown function (DUF6618),27; 27;,DUF6618,92,,Family
7722,DUF6619,PF20324.1,,Family of unknown function (DUF6619),27; 27;,DUF6619,100,,Family
7723,DUF6620,PF20325.1,,Family of unknown function (DUF6620),27; 27;,DUF6620,450,,Family
7724,DUF6621,PF20326.1,,Family of unknown function (DUF6621),27; 27;,DUF6621,190,,Family
7725,DUF6622,PF20327.1,,Family of unknown function (DUF6622),27; 27;,DUF6622,183,,Family
7726,DUF6623,PF20328.1,,Family of unknown function (DUF6623),27; 27;,DUF6623,149,,Family
7727,DUF6624,PF20329.1,,Family of unknown function (DUF6624),27; 27;,DUF6624,173,,Family
7728,DUF6625,PF20330.1,,Family of unknown function (DUF6625),27; 27;,DUF6625,269,,Family
7729,DUF6626,PF20331.1,,Family of unknown function (DUF6626),27.3; 27.3;,DUF6626,96,,Family
7730,DUF6627,PF20332.1,,Family of unknown function (DUF6627),27; 27;,DUF6627,125,,Family
7731,DUF6628,PF20333.1,,Family of unknown function (DUF6628),27; 27;,DUF6628,137,,Family
7732,DUF6629,PF20334.1,,Family of unknown function (DUF6629),27; 27;,DUF6629,209,,Family
7733,DUF6630,PF20335.1,,Family of unknown function (DUF6630),27; 27;,DUF6630,172,,Family
7734,DUF6631,PF20336.1,,Family of unknown function (DUF6631),27; 27;,DUF6631,157,,Family
7735,DUF6632,PF20337.1,,Family of unknown function (DUF6632),27; 27;,DUF6632,136,,Family
7736,DUF6633,PF20338.1,,Family of unknown function (DUF6633),27; 27;,DUF6633,105,,Family
7737,DUF6634,PF20339.1,,Family of unknown function (DUF6634),27; 27;,DUF6634,157,,Family
7738,DUF6635,PF20340.1,,Family of unknown function (DUF6635),27; 27;,DUF6635,273,,Family
7739,DUF6636,PF20341.1,,Family of unknown function (DUF6636),27; 27;,DUF6636,140,,Family
7740,DUF6637,PF20342.1,,Family of unknown function (DUF6637),27; 27;,DUF6637,103,,Family
7741,DUF6638,PF20343.1,,Family of unknown function (DUF6638),27; 27;,DUF6638,439,,Family
7742,DUF6639,PF20344.1,,Family of unknown function (DUF6639),27; 27;,DUF6639,231,,Family
7743,DUF664,PF04978.15,CL0310,Protein of unknown function (DUF664),27; 27;,DUF664,149,,Family
7744,DUF6640,PF20345.1,,Family of unknown function (DUF6640),27; 27;,DUF6640,133,,Family
7745,DUF6641,PF20346.1,,Family of unknown function (DUF6641),27; 27;,DUF6641,143,,Family
7746,DUF6642,PF20347.1,,Family of unknown function (DUF6642),27; 27;,DUF6642,188,,Family
7747,DUF6643,PF20348.1,,Family of unknown function (DUF6643),27; 27;,DUF6643,150,,Family
7748,DUF6644,PF20349.1,,Family of unknown function (DUF6644),27; 27;,DUF6644,155,,Family
7749,DUF6645,PF20350.1,,Family of unknown function (DUF6645),27; 27;,DUF6645,119,,Family
7750,DUF6646,PF20351.1,,Family of unknown function (DUF6646),27; 27;,DUF6646,158,,Family
7751,DUF6647,PF20352.1,,Family of unknown function (DUF6647),27; 27;,DUF6647,175,,Family
7752,DUF6648,PF20353.1,,Family of unknown function (DUF6648),27; 27;,DUF6648,182,,Family
7753,DUF6649,PF20354.1,,Family of unknown function (DUF6649),27; 27;,DUF6649,227,,Family
7754,DUF6650,PF20355.1,,Family of unknown function (DUF6650),27; 27;,DUF6650,150,,Family
7755,DUF6651,PF20356.1,,Family of unknown function (DUF6651),27; 27;,DUF6651,113,,Family
7756,DUF6652,PF20357.1,,Family of unknown function (DUF6652),27; 27;,DUF6652,183,,Family
7757,DUF6653,PF20358.1,,Family of unknown function (DUF6653),27; 27;,DUF6653,170,,Family
7758,DUF6655,PF20360.1,,Family of unknown function (DUF6655),27; 27;,DUF6655,259,,Family
7759,DUF6656,PF20361.1,,Family of unknown function (DUF6656),27; 27;,DUF6656,182,,Family
7760,DUF6657,PF20362.1,,Family of unknown function (DUF6657),27; 27;,DUF6657,141,,Family
7761,DUF6658,PF20363.1,,Family of unknown function (DUF6658),27; 27;,DUF6658,178,,Family
7762,DUF6659,PF20364.1,,Family of unknown function (DUF6659),27; 27;,DUF6659,131,,Family
7763,DUF6660,PF20365.1,,Family of unknown function (DUF6660),27; 27;,DUF6660,102,,Family
7764,DUF6661,PF20366.1,,Family of unknown function (DUF6661),27; 27;,DUF6661,174,,Family
7765,DUF6662,PF20367.1,,Family of unknown function (DUF6662),27; 27;,DUF6662,308,,Family
7766,DUF6663,PF20368.1,,Family of unknown function (DUF6663),27; 27;,DUF6663,243,,Family
7767,DUF6664,PF20369.1,,Family of unknown function (DUF6664),27; 27;,DUF6664,107,,Family
7768,DUF6665,PF20370.1,,Family of unknown function (DUF6665),27; 27;,DUF6665,106,,Family
7769,DUF6666,PF20371.1,,Family of unknown function (DUF6666),27; 27;,DUF6666,370,,Family
7770,DUF6667,PF20372.1,,Family of unknown function (DUF6667),27; 27;,DUF6667,252,,Family
7771,DUF6668,PF20373.1,,Family of unknown function (DUF6668),27; 27;,DUF6668,128,,Family
7772,DUF6669,PF20374.1,,Family of unknown function (DUF6669),27; 27;,DUF6669,156,,Family
7773,DUF6670,PF20375.1,,Family of unknown function (DUF6670),27; 27;,DUF6670,294,,Family
7774,DUF6671,PF20376.1,CL0236,Domain of unknown function (DUF6671),23.8; 23.8;,DUF6671,217,,Domain
7775,DUF6672,PF20377.1,,Family of unknown function (DUF6672),24.3; 24.3;,DUF6672,153,,Family
7776,DUF6673,PF20378.1,,Family of unknown function (DUF6673),24.5; 24.5;,DUF6673,114,,Family
7777,DUF6674,PF20379.1,,Family of unknown function (DUF6674),28.5; 28.5;,DUF6674,253,,Family
7778,DUF6675,PF20380.1,,Family of unknown function (DUF6675),27; 27;,DUF6675,255,,Family
7779,DUF6676,PF20381.1,,Family of unknown function (DUF6676),26; 26;,DUF6676,158,,Family
7780,DUF6677,PF20382.1,,Family of unknown function (DUF6677),24.3; 24.3;,DUF6677,145,,Family
7781,DUF6678,PF20383.1,,Family of unknown function (DUF6678),24.5; 24.5;,DUF6678,122,,Family
7782,DUF6679,PF20384.1,,Family of unknown function (DUF6679),23.9; 23.9;,DUF6679,104,,Family
7783,DUF668,PF05003.15,,Protein of unknown function (DUF668),24; 24;,DUF668,89,,Family
7784,DUF6680,PF20385.1,,Family of unknown function (DUF6680),23.2; 23.2;,DUF6680,170,,Family
7785,DUF6681,PF20386.1,,Family of unknown function (DUF6681),24.1; 24.1;,DUF6681,268,,Family
7786,DUF6682,PF20387.1,,Family of unknown function (DUF6682),23.7; 23.7;,DUF6682,231,,Family
7787,DUF6683,PF20388.1,,Family of unknown function (DUF6683),23.6; 23.6;,DUF6683,253,,Family
7788,DUF6684,PF20389.1,,Family of unknown function (DUF6684),24; 24;,DUF6684,79,,Family
7789,DUF6685,PF20390.1,,Family of unknown function (DUF6685),24.6; 24.6;,DUF6685,207,,Family
7790,DUF6686,PF20391.1,,Family of unknown function (DUF6686),23.9; 23.9;,DUF6686,117,,Family
7791,DUF6687,PF20392.1,,Family of unknown function (DUF6687),27; 27;,DUF6687,338,,Family
7792,DUF6688,PF20394.1,,Family of unknown function (DUF6688),25; 25;,DUF6688,366,,Family
7793,DUF6689,PF20396.1,,Family of unknown function (DUF6689),27; 27;,DUF6689,275,,Family
7794,DUF669,PF05037.16,,Protein of unknown function (DUF669),21; 21;,DUF669,140,,Family
7795,DUF6690,PF20397.1,,Family of unknown function (DUF6690),27; 27;,DUF6690,253,,Family
7796,DUF6691,PF20398.1,CL0710,Family of unknown function (DUF6691),27; 27;,DUF6691,142,,Domain
7797,DUF6692,PF20402.1,CL0044,Domain of unknown function (DUF6692),24.2; 24.2;,DUF6692,162,,Domain
7798,DUF6693,PF20403.1,,Family of unknown function (DUF6693),31; 31;,DUF6693,109,,Family
7799,DUF6694,PF20404.1,,Family of unknown function (DUF6694),24.3; 24.3;,DUF6694,106,,Family
7800,DUF6695,PF20405.1,,Family of unknown function (DUF6695),25; 25;,DUF6695,325,,Family
7801,DUF6696,PF20410.1,,Domain of unknown function (DUF6696),24.9; 24.9;,DUF6696,101,,Domain
7802,DUF6697,PF20411.1,,Domain of unknown function (DUF6697),23.9; 23.9;,DUF6697,178,,Domain
7803,DUF6698,PF20414.1,,Family of unknown function (DUF6698),23.7; 23.7;,DUF6698,206,,Family
7804,DUF6699,PF20415.1,,Family of unknown function (DUF6699),24.1; 24.1;,DUF6699,133,,Family
7805,DUF6700,PF20416.1,,Domain of unknown function (DUF6700),27; 27;,DUF6700,221,,Domain
7806,DUF6701,PF20419.1,,Family of unknown function (DUF6701),27; 27;,DUF6701,580,,Family
7807,DUF6702,PF20420.1,,Domain of unknown function (DUF6702),24; 24;,DUF6702,141,,Domain
7808,DUF6703,PF20444.1,,Family of unknown function (DUF6703),23.8; 23.8;,DUF6703,122,,Family
7809,DUF6704,PF20447.1,,Family of unknown function (DUF6704),27; 27;,DUF6704,68,,Family
7810,DUF6705,PF20448.1,,Family of unknown function (DUF6705),24.4; 24.4;,DUF6705,198,,Family
7811,DUF6706,PF20449.1,,Family of unknown function (DUF6706),23.8; 23.8;,DUF6706,108,,Family
7812,DUF6707,PF20453.1,,Family of unknown function (DUF6707),27; 27;,DUF6707,291,,Family
7813,DUF6708,PF20455.1,,Family of unknown function (DUF6708),27; 27;,DUF6708,171,,Family
7814,DUF6709,PF20456.1,,Family of unknown function (DUF6709),27; 27;,DUF6709,335,,Family
7815,DUF6710,PF20457.1,,Family of unknown function (DUF6710),27; 27;,DUF6710,203,,Family
7816,DUF6711,PF20458.1,,Family of unknown function (DUF6711),27; 27;,DUF6711,134,,Family
7817,DUF6712,PF20459.1,,Family of unknown function (DUF6712),27; 27;,DUF6712,288,,Family
7818,DUF6713,PF20460.1,,Family of unknown function (DUF6713),27; 27;,DUF6713,117,,Family
7819,DUF6714,PF20461.1,,Family of unknown function (DUF6714),27; 27;,DUF6714,159,,Family
7820,DUF6715,PF20462.1,CL0051,Domain of unknown function (DUF6715),27; 27;,DUF6715,192,,Domain
7821,DUF6716,PF20471.1,CL0113,Putative glycosyltransferase (DUF6716),27; 27;,DUF6716,342,,Family
7822,DUF6717,PF20475.1,,Family of unknown function (DUF6717),27; 27;,DUF6717,115,,Family
7823,DUF6718,PF20476.1,,Family of unknown function (DUF6718),27; 27;,DUF6718,74,,Family
7824,DUF6719,PF20477.1,,Family of unknown function (DUF6719),27; 27;,DUF6719,78,,Family
7825,DUF6720,PF20480.1,,Family of unknown function (DUF6720),27; 27;,DUF6720,306,,Family
7826,DUF6721,PF20481.1,,Domain of unknown function (DUF6721),27; 27;,DUF6721,96,,Domain
7827,DUF6722,PF20482.1,,Family of unknown function (DUF6722),27; 27;,DUF6722,49,,Family
7828,DUF6723,PF20484.1,,Family of unknown function (DUF6723),27; 27;,DUF6723,73,,Family
7829,DUF6724,PF20485.1,,Family of unknown function (DUF6724),27; 27;,DUF6724,64,,Family
7830,DUF6725,PF20486.1,,Family of unknown function (DUF6725),27; 27;,DUF6725,83,,Family
7831,DUF6726,PF20487.1,,Family of unknown function (DUF6726),27; 27;,DUF6726,58,,Family
7832,DUF6727,PF20495.1,,Family of unknown function (DUF6727),22.3; 20.9;,DUF6727,152,,Family
7833,DUF6728,PF20498.1,,Family of unknown function (DUF6728),27; 27;,DUF6728,55,,Family
7834,DUF6729,PF20499.1,,Domain of unknown function (DUF6729),27; 27;,DUF6729,232,,Domain
7835,DUF6730,PF20503.1,,Family of unknown function (DUF6730),27; 27;,DUF6730,82,,Family
7836,DUF6731,PF20505.1,,Family of unknown function (DUF6731),27; 27;,DUF6731,294,,Family
7837,DUF6732,PF20506.1,,Family of unknown function (DUF6732),27; 27;,DUF6732,72,,Family
7838,DUF6733,PF20507.1,,Family of unknown function (DUF6733),27; 27;,DUF6733,243,,Family
7839,DUF6734,PF20508.1,,Family of unknown function (DUF6734),27; 27;,DUF6734,288,,Family
7840,DUF6735,PF20509.1,,Family of unknown function (DUF6735),27; 27;,DUF6735,204,,Family
7841,DUF6736,PF20521.1,,Family of unknown function (DUF6736),27; 27;,DUF6736,131,,Domain
7842,DUF6737,PF20522.1,,Domain of unknown function (DUF6737),27; 27;,DUF6737,57,,Domain
7843,DUF6738,PF20523.1,,Domain of unknown function (DUF6738),27; 27;,DUF6738,85,,Domain
7844,DUF6739,PF20524.1,,Family of unknown function (DUF6739),27; 27;,DUF6739,691,,Family
7845,DUF674,PF05056.15,,Protein of unknown function (DUF674),24.4; 24.4;,DUF674,452,,Family
7846,DUF6740,PF20525.1,,Family of unknown function (DUF6740),27; 27;,DUF6740,532,,Family
7847,DUF6741,PF20526.1,,Domain of unknown function (DUF6741),27; 27;,DUF6741,129,,Domain
7848,DUF6742,PF20527.1,,Domain of unknown function (DUF6742),27; 27;,DUF6742,43,,Domain
7849,DUF6743,PF20528.1,,Domain of unknown function (DUF6743),27; 27;,DUF6743,78,,Domain
7850,DUF6744,PF20529.1,,Family of unknown function (DUF6744),27; 27;,DUF6744,320,,Family
7851,DUF6745,PF20530.1,,Domain of unknown function (DUF6745),27; 27;,DUF6745,206,,Domain
7852,DUF6746,PF20531.1,,Family of unknown function (DUF6746),27; 27;,DUF6746,124,,Family
7853,DUF6747,PF20532.1,,Family of unknown function (DUF6747),27; 27;,DUF6747,55,,Family
7854,DUF6748,PF20533.1,,Domain of unknown function (DUF6748),27; 27;,DUF6748,199,,Domain
7855,DUF6749,PF20534.1,,Domain of unknown function (DUF6749),27; 27;,DUF6749,139,,Domain
7856,DUF6750,PF20535.1,,Family of unknown function (DUF6750),27; 27;,DUF6750,129,,Family
7857,DUF6751,PF20536.1,,Family of unknown function (DUF6751),27; 27;,DUF6751,113,,Family
7858,DUF6752,PF20537.1,,Domain of unknown function (DUF6752),27; 27;,DUF6752,55,,Domain
7859,DUF6753,PF20538.1,,Family of unknown function (DUF6753),27; 27;,DUF6753,217,,Family
7860,DUF6754,PF20539.1,,Domain of unknown function (DUF6754),27; 27;,DUF6754,257,,Domain
7861,DUF6755,PF20540.1,,Family of unknown function (DUF6755),27; 27;,DUF6755,75,,Family
7862,DUF6756,PF20541.1,,Family of unknown function (DUF6756),27; 27;,DUF6756,160,,Family
7863,DUF6757,PF20542.1,,Family of unknown function (DUF6757),27; 27;,DUF6757,54,,Family
7864,DUF6758,PF20544.1,,Family of unknown function (DUF6758),27; 27;,DUF6758,208,,Family
7865,DUF6759,PF20545.1,,Domain of unknown function (DUF6759),27; 27;,DUF6759,94,,Domain
7866,DUF676,PF05057.17,CL0028,Putative serine esterase (DUF676),20.3; 20.3;,DUF676,219,,Family
7867,DUF6760,PF20546.1,,Family of unknown function (DUF6760),27; 27;,DUF6760,89,,Family
7868,DUF6761,PF20547.1,,Family of unknown function (DUF6761),27; 27;,DUF6761,82,,Family
7869,DUF6762,PF20548.1,,Family of unknown function (DUF6762),27; 27;,DUF6762,132,,Family
7870,DUF6763,PF20549.1,,Family of unknown function (DUF6763),27; 27;,DUF6763,98,,Family
7871,DUF6764,PF20550.1,,Family of unknown function (DUF6764),27; 27;,DUF6764,164,,Family
7872,DUF6765,PF20551.1,,Family of unknown function (DUF6765),26.6; 26.6;,DUF6765,326,,Family
7873,DUF6766,PF20554.1,,Domain of unknown function (DUF6766),27; 27;,DUF6766,221,,Domain
